"consent","attention_1","attention_2","self_wash_hands","self_avoid_gatherings","self_isolate","self_share_post","other_wash_hands","other_avoid_gatherings","other_isolate","other_cancel_holiday","person_trustworthiness","person_moral","covid_threat","covid_self_die","covid_other_die","covid_self_responsible","covid_other_responsible","covid_control","covid_home_unpleasant","covid_sought_information","covid_cases_local","covid_cases_personal","forced_choice_message","OUS1","OUS2","OUS3","OUS4","OUS5","OUS6","OUS7","OUS8","OUS9","mood_now","gender","age","ethnicity","health_condition","english_native","marital_status","children","living_situation","Q67_4_TEXT","local_state","education","employment","employer_home_support","income","perceived_class","interest_politics","economic_conservatism","social_conservatism","political_party","Q222_4_TEXT","social_media_hours","social_media_minutes","belief_god","religiosity","general_comments","source_condition","message_condition","gender_binary","gender_binary_numeric","race","education_numeric","overall_conservatism","impartial_beneficence","instrumental_harm","comp1_passed","comp2_passed","comp_passed"
1,4,3,7,7,4,5,7,5,4,6,6,5,5,1,3,7,6,6,4,7,"Yes","No","Utilitarian",3,2,5,3,3,5,5,6,5,4,"Female",47,"Hispanic","No",1,2,"No Children","Partners/Family","","Florida","4 Year Degree","Full-Time","No",7,5,3,7,4,"Republican","",2,30,5,3,"","Leader","Utilitarian","Female",NA,"Unspecified",4,5.5,3.2,5.25,"Passed","Passed","Passed"
1,2,NA,6,7,7,1,4,4,6,5,7,6,6,2,2,7,6,4,1,6,"Yes","No","Virtue",3,5,7,6,5,4,6,5,4,4,"Female",66,"Black","No",1,4,"2 Children","Partners/Family","","Kentucky","Some college","Unemployed",NA,2,9,3,2,3,"Democrat","",3,0,10,7,"Thank you.","Citizen","Non-Moral","Female",NA,"Black",2,2.5,5.2,4.75,"Passed","Passed","Passed"
1,4,1,5,5,3,1,3,4,3,1,6,5,4,1,2,4,4,5,5,7,"Yes","No","Deontological",3,2,4,3,2,6,5,4,6,3,"Male",27,"White","No",1,1,"No Children","Housemates","","Michigan","4 Year Degree","Student",NA,4,6,2,4,2,"Democrat","",1,0,1,1,"","Leader","Deontological","Male",NA,"White",4,3,2.8,5.25,"Passed","Passed","Passed"
1,2,2,7,5,3,6,5,5,5,4,7,7,6,1,1,7,5,7,1,6,"No","No","Virtue",4,5,6,5,7,4,1,2,5,1,"Female",69,"Black","No",1,5,"1 Child","Alone","","Louisiana","Some college","Part-Time","Unsure",4,5,3,2,2,"Democrat","",3,30,10,7,"I pray for the world.","Citizen","Virtue","Female",NA,"Black",2,2,5.4,3,"Passed","Passed","Passed"
1,4,3,6,6,4,6,6,5,3,6,6,5,4,1,5,5,5,5,4,7,"Yes","No","Deontological",2,3,5,3,6,5,3,3,5,3,"Female",18,"Asian","No",2,1,"No Children","Partners/Family","","TX","High School","Student",NA,2,6,2,4,2,"Democrat","",5,30,4,3,"","Leader","Utilitarian","Female",NA,"Asian",1,3,3.8,4,"Passed","Passed","Passed"
1,2,NA,6,6,6,4,4,4,4,2,5,5,5,2,4,7,7,4,4,7,"Yes","No","Deontological",4,3,3,5,2,4,2,4,3,3,"Other",21,"Hispanic","No",2,1,"No Children","Partners/Family","","California","2 year Degree","Part-Time","Yes",3,7,3,1,1,"Democrat","",6,30,4,2,"","Citizen","Non-Moral",NA,NA,"Unspecified",3,1,3.4,3.25,"Passed","Passed","Passed"
1,4,1,6,6,6,7,4,4,4,4,5,6,4,2,6,6,5,7,7,7,"Yes","Not Sure","Deontological",6,5,7,7,6,5,5,3,4,3,"Female",22,"White","Not Sure",1,1,"No Children","Housemates","","Virginia","Some college","Part-Time","No",2,3,2,1,1,"Democrat","",2,0,1,1,"","Leader","Deontological","Female",NA,"White",2,1,6.2,4.25,"Passed","Passed","Passed"
1,2,3,4,2,2,1,2,1,1,3,2,4,5,1,4,4,4,2,4,6,"No","No","Deontological",3,2,1,4,3,2,3,3,2,3,"Male",24,"White","No",1,1,"No Children","Housemates","","Illinois","2 year Degree","Student",NA,1,8,2,3,2,"Democrat","",2,0,4,2,"","Citizen","Utilitarian","Male",NA,"White",3,2.5,2.6,2.5,"Passed","Passed","Passed"
1,4,1,7,7,1,4,7,6,4,6,4,4,7,3,5,7,3,4,1,4,"Yes","No","Utilitarian",4,3,7,6,6,1,2,1,1,3,"Female",53,"Black","No",1,2,"2 Children","Partners/Family","","Florida","2 year Degree","Full-Time","No",5,7,2,3,3,"Democrat","",1,30,10,4,"","Leader","Deontological","Female",NA,"Black",3,3,5.2,1.25,"Passed","Passed","Passed"
1,2,NA,4,5,6,3,3,3,2,1,4,6,4,1,3,7,5,5,1,2,"Not Sure","Not Sure","Deontological",4,6,5,3,5,2,1,2,2,3,"Male",21,"White","Not Sure",1,1,"No Children","Partners/Family","","Oregon ","Some college","Full-Time","No",5,8,2,2,3,"Democrat","",8,0,4,1,"","Citizen","Non-Moral","Male",NA,"White",2,2.5,4.6,1.75,"Passed","Passed","Passed"
